rung,cell                   n med_total       IQR  med_conn med_appconn  med_ttfb  (ms)
C,ka100_req57              30     0.45     0.04     0.00        0.00     0.43
C,ka100_req58              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req59              30     0.46     0.05     0.00        0.00     0.43
C,ka100_req6               30     0.47     0.03     0.00        0.00     0.46
C,ka100_req60              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req61              30     0.44     0.06     0.00        0.00     0.42
C,ka100_req62              30     0.43     0.03     0.00        0.00     0.43
C,ka100_req63              30     0.45     0.04     0.00        0.00     0.44
C,ka100_req64              30     0.44     0.04     0.00        0.00     0.43
C,ka100_req65              30     0.45     0.05     0.00        0.00     0.43
C,ka100_req66              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req67              30     0.44     0.05     0.00        0.00     0.42
C,ka100_req68              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req69              30     0.44     0.04     0.00        0.00     0.43
C,ka100_req7               30     0.47     0.04     0.00        0.00     0.46
C,ka100_req70              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req71              30     0.44     0.03     0.00        0.00     0.43
C,ka100_req72              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req73              30     0.44     0.04     0.00        0.00     0.42
C,ka100_req74              30     0.43     0.03     0.00        0.00     0.41
C,ka100_req75              30     0.44     0.03     0.00        0.00     0.43
C,ka100_req76              30     0.43     0.03     0.00        0.00     0.42
C,ka100_req77              30     0.44     0.02     0.00        0.00     0.43
C,ka100_req78              30     0.44     0.06     0.00        0.00     0.43
C,ka100_req79              30     0.44     0.03     0.00        0.00     0.43
C,ka100_req8               30     0.47     0.04     0.00        0.00     0.45
C,ka100_req80              30     0.44     0.05     0.00        0.00     0.42
C,ka100_req81              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req82              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req83              30     0.45     0.04     0.00        0.00     0.44
C,ka100_req84              30     0.43     0.03     0.00        0.00     0.42
C,ka100_req85              30     0.43     0.04     0.00        0.00     0.43
C,ka100_req86              30     0.44     0.05     0.00        0.00     0.42
C,ka100_req87              30     0.43     0.03     0.00        0.00     0.42
C,ka100_req88              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req89              30     0.44     0.03     0.00        0.00     0.43
C,ka100_req9               30     0.48     0.03     0.00        0.00     0.46
C,ka100_req90              30     0.44     0.03     0.00        0.00     0.42
C,ka100_req91              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req92              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req93              30     0.45     0.03     0.00        0.00     0.43
C,ka100_req94              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req95              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req96              30     0.43     0.04     0.00        0.00     0.42
C,ka100_req97              30     0.44     0.04     0.00        0.00     0.42
C,ka100_req98              30     0.44     0.04     0.00        0.00     0.42
C,ka100_req99              30     0.44     0.05     0.00        0.00     0.43
C,ka10_req1                30    14.77     0.33     0.03       13.35    14.75
C,ka10_req10               30     0.47     0.03     0.00        0.00     0.45
C,ka10_req2                30     0.44     0.04     0.00        0.00     0.44
C,ka10_req3                30     0.49     0.03     0.00        0.00     0.48
C,ka10_req4                30     0.49     0.05     0.00        0.00     0.49
C,ka10_req5                30     0.48     0.04     0.00        0.00     0.47
C,ka10_req6                30     0.48     0.04     0.00        0.00     0.47
C,ka10_req7                30     0.47     0.02     0.00        0.00     0.46
C,ka10_req8                30     0.48     0.04     0.00        0.00     0.47
C,ka10_req9                30     0.48     0.05     0.00        0.00     0.46
C,ka1_req1                 30    14.66     0.20     0.03       13.41    14.64
C,req_100k                 30    15.04     0.34     0.03       13.32    13.35
C,req_10240k               30    46.07     1.87     0.06       14.12    14.15
C,req_1024k                30    18.08     0.83     0.03       13.43    13.46
C,req_1k                   30    14.76     0.31     0.03       13.24    14.74
C,resp_100k                30    15.35     0.40     0.03       13.35    14.89
C,resp_10240k              30    58.96     2.62     0.04       13.85    15.51
C,resp_1024k               30    19.34     0.45     0.03       13.50    15.06
C,resp_1k                  30    14.68     0.42     0.03       13.29    14.67
D,req_100k                 30    15.14     0.33     0.03       13.38    13.41
D,req_1k                   30    14.77     0.26     0.03       13.35    14.75
D,resp_100k                30    15.36     0.41     0.03       13.41    14.92
D,resp_1k                  30    14.79     0.42     0.03       13.45    14.77
E,req_100k                 30    16.68     2.91     0.05       14.59    14.62
E,req_1k                   30    14.83     0.35     0.03       13.29    14.81
E,resp_100k                30    15.61     3.42     0.03       13.57    15.09
E,resp_1k                  30    14.68     0.39     0.03       13.31    14.66

per-byte slopes (fit over size-sweep medians):
  A resp:     4.94 ns/byte (  5.06 us/KB), intercept    1.02 ms
  A req:     5.51 ns/byte (  5.64 us/KB), intercept    0.92 ms
  B resp:     4.17 ns/byte (  4.27 us/KB), intercept   14.72 ms
  B req:     2.99 ns/byte (  3.06 us/KB), intercept   14.74 ms
  C resp:     4.21 ns/byte (  4.31 us/KB), intercept   14.84 ms
  C req:     2.98 ns/byte (  3.05 us/KB), intercept   14.81 ms

per-request constant (keep-alive deltas, using final-request totals):
  A ka1 total     0.88 ms (connection setup + 1 request)
  A ka10: marginal per-request     0.09 ms
  A ka100: marginal per-request     0.06 ms
  B ka1 total    14.50 ms (connection setup + 1 request)
  B ka10: marginal per-request     0.33 ms
  B ka100: marginal per-request     0.27 ms
  C ka1 total    14.66 ms (connection setup + 1 request)
  C ka10: marginal per-request     0.49 ms
  C ka100: marginal per-request     0.45 ms
